config_key,k1,b,fb_terms,fb_docs,original_weight,rrf_k,prf_fb_docs,prf_top_passages,expansion_terms,expansion_token_budget,batch_size,alpha,passage_size,passage_stride,rerank_k,map
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=3__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,3,10,24,40,8,0.35,256,64,500,0.3202540927468466
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=3__prf_top_passages=20__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,3,20,12,40,8,0.35,256,64,500,0.3081447548927361
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=3__prf_top_passages=20__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,3,20,24,40,8,0.35,256,64,500,0.3089973316857783
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=5__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,5,12,40,8,0.35,256,64,500,0.3282399844346444
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=5__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,5,24,40,8,0.35,256,64,500,0.3240274265934936
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=5__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,24,40,8,0.35,256,64,500,0.3249657317279977
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=5__prf_top_passages=20__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,20,12,40,8,0.35,256,64,500,0.3125725428619434
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=5__prf_top_passages=20__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,20,24,40,8,0.35,256,64,500,0.3159550733497928
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,5,24,40,8,0.35,256,64,500,0.3299116644822364
MultiBranch__alpha=0.2__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=5__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.2,128,64,500,0.3111233305369897
